title,price,mileage,dealer_name
2013 Lexus GS 350 Base,"$16,450","106,940 mi.",Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi
2006 Lexus GS 300 Base (A6),"$8,995","169,338 mi.",Best Auto Buy LLC
2017 Lexus GS 350 GS 350,"$28,499","59,597 mi.",Fletcher Jones Imports
2018 Lexus GS 350 F Sport,"$32,998","59,532 mi.",CarMax Henderson - Offering Express Pickup and Home Delivery
2015 Lexus GS 350 ,"$25,259","57,294 mi.",Gaudin Ford
2009 Lexus GS 350 ,"$15,999","73,025 mi.",Rocky Mountain Eurosport Parker
2013 Lexus GS 350 Base,"$24,402","54,710 mi.",Street Smart Auto Brokers
2016 Lexus GS F Base,"$59,500","9,830 mi.",
2017 Lexus GS 350 F Sport,"$25,996","88,287 mi.",Toyota of Santa Fe
2016 Lexus GS 350 Base,"$28,000","90,647 mi.",Mercedes-Benz of Albuquerque
2018 Lexus GS 350 Base,"$28,500","69,609 mi.",Sandia Toyota
2015 Lexus GS 350 Crafted Line,"$26,950","81,396 mi.",Ash Auto Group
2019 Lexus GS 350 F Sport,"$36,888","42,819 mi.",Acura North Scottsdale
2018 Lexus GS 350 F Sport,"$35,497","35,071 mi.",Audi North Scottsdale
2016 Lexus GS 350 ,"$31,799","41,755 mi.",Motor Market Auto Sales & Service
2015 Lexus GS 350 Base (A8),"$25,900","60,685 mi.",Earnhardt Lexus
2015 Lexus GS 350 Base,"$23,776","70,827 mi.",Camelback Toyota
2016 Lexus GS 350 Base,"$23,973","75,831 mi.",INFINITI on Camelback
2015 Lexus GS 350 Base,"$20,790","82,009 mi.",Mark Kia
2017 Lexus GS 350 ,"$28,888","47,793 mi.",Auto Junction Benz & Beemers
2017 Lexus GS 350 F Sport,"$35,750","31,500 mi.",
2016 Lexus GS 350 F Sport,"$25,262","73,409 mi.",AutoNation Toyota Tempe
2017 Lexus GS 350 F Sport,"$25,500","83,100 mi.",
2014 Lexus GS 350 Base,"$18,899","83,251 mi.",Lithia Chrysler Jeep Dodge Ram FIAT of Tri-Cities
2003 Lexus GS 430 ,"$8,995","182,112 mi.",Pacific Auto Center - Fontana
2006 Lexus GS 300 Base,"$11,489","74,776 mi.",Autobakers
2008 Lexus GS 460 Base,"$17,999","71,252 mi.",Inside Car Guys LLC
2014 Lexus GS 350 Base,"$20,492","70,333 mi.",Toyota Marin
2017 Lexus GS 350 F Sport,"$29,763","61,572 mi.",Rio Vista Chevrolet
2006 Lexus GS 300 Base,"$10,000","111,735 mi.",Columbia Sales & Service
2018 Lexus GS 350 Base,"$31,987","34,934 mi.",Brown Automotive Group
2016 Lexus GS F Base,"$48,746","38,695 mi.",Porsche Bellevue
2016 Lexus GS 200t F Sport,"$24,995","52,320 mi.",BMW Seattle
2020 Lexus GS 350 F Sport,"$38,837","35,975 mi.",Gene Messer Toyota
2018 Lexus GS 350 F Sport,"$22,947","108,172 mi.",BMW of Lubbock
2020 Lexus GS 350 F SPORT Black Line,"$43,998","33,225 mi.",Lexus of Wichita
2016 Lexus GS 350 Base,"$29,499","47,851 mi.",Grubbs Acura of Tulsa
2017 Lexus GS 350 F Sport,"$31,998","60,123 mi.",CarMax Tulsa - Offering Express Pickup and Home Delivery
2018 Lexus GS 350 Base,"$32,811","71,358 mi.",Patriot Chrysler Dodge Jeep Ram of McAlester
2017 Lexus GS F Base,"$37,962","100,948 mi.",AutoNation Chrysler Dodge Jeep Ram North Richland Hills
2004 Lexus GS 300 Base,"$17,995","31,201 mi.",A to Z Autosports LLC
2015 Lexus GS 350 ,"$16,522","108,982 mi.",AutoNation Ford Katy
2008 Lexus GS 350 Base (A6),"$8,760","159,299 mi.",Car Stars
2013 Lexus GS 350 Base,"$19,998","101,326 mi.",CarMax Gulf Freeway - Offering Express Pickup and Home Delivery
2016 Lexus GS F Base,"$47,988","31,097 mi.",Mac Haik Ford Pasadena
2020 Lexus GS 350 Base,"$31,995","92,769 mi.",Sterling McCall Lexus Clear Lake
2014 Lexus GS 350 Base,"$15,971","107,692 mi.",Love PreOwned AutoCenter
2017 Lexus GS 350 ,"$29,931","43,366 mi.",AutoNation Ford Corpus Christi
2013 Lexus GS 350 Base,"$18,800","98,715 mi.",Car City Inc
2013 Lexus GS 350 Base,"$18,950","96,672 mi.",Zone Motors
2007 Lexus GS 450h ,"$8,799","135,362 mi.",My Choice Motors of Elmhurst
2015 Lexus GS 350 Crafted Line,"$18,980","123,064 mi.",Lucky Motors Megastore of Villa Park
2018 Lexus GS 350 F Sport,"$32,999","41,394 mi.",Oakbrook Toyota in Westmont
2018 Lexus GS 350 Base,"$32,806","41,728 mi.",Oakbrook Toyota in Westmont
2011 Lexus GS 350 Base,"$17,090","58,261 mi.",Haus of Imports
2013 Lexus GS 350 ,"$12,999","139,974 mi.",Your Choice Autos Waukegan
2013 Lexus GS 350 Base,"$14,500","149,500 mi.",
2015 Lexus GS 350 Base,"$24,995","66,343 mi.",Fields Lexus Glenview
2013 Lexus GS 350 Base,"$21,989","64,412 mi.",Fields Volvo Cars of Northfield
2014 Lexus GS 350 Base,"$18,949","99,785 mi.",Adam Auto Group
2016 Lexus GS 350 F Sport,"$24,900","94,912 mi.",Car Smart of Memphis
2016 Lexus GS F Base,"$44,950","58,914 mi.",Kenny Kent Lexus
2017 Lexus GS 350 GS 350 F Sport,"$24,988","87,665 mi.",Team Honda of Acadiana
2015 Lexus GS 350 Crafted Line,"$21,990","104,789 mi.",Ridgeland Auto World
2014 Lexus GS 350 Base,"$21,900","86,136 mi.",Cadillac of Jackson
2016 Lexus GS 350 Base,"$23,308","65,507 mi.",Gray-Daniels Nissan North
2014 Lexus GS 350 Base,"$19,991","75,800 mi.",Midwest Motors
2018 Lexus GS 350 F Sport,"$29,661","83,002 mi.",David Rice Auto Sales
2015 Lexus GS 350 Base,"$19,992","103,520 mi.",Lexus of Ft. Wayne
2014 Lexus GS 350 F Sport,"$20,800","133,500 mi.",Fleet Import LLC
